"original_text","simplified_kindergarten","simplified_primary_school","simplified_secondary_school"
"The acronym UBL can also mean: Hubli Junction railway station, station code:UBL Ulster Bank Limited, a retail banking subsidiary of NatWest Group Ultimate Band List United Bank Limited Unilever Bangladesh Limited United Basketball League Universal Business Language, an ISO standard XML vocabulary for invoices, purchase orders, waybills, etc. Usama bin Laden (1957–2011) Saudi Arabian terrorist and leader of al-Qaeda Ubiquitin-like proteins","UBL can mean Hubli train station. Its code is UBL.
It can mean Ulster Bank. This is a bank.
It can mean Ultimate Band List.
It can mean United Bank.
It can mean Unilever Bangladesh.
It can mean United Basketball League.
It can mean Universal Business Language. This is a computer language. It helps with bills.
It can mean Usama bin Laden. He lived from 1957 to 2011. He was a bad man. He led a group.
It can mean Ubiquitin-like proteins. These are tiny parts.","The letters UBL can mean:
The train station called Hubli Junction. Its code is UBL.
Ulster Bank Limited. This is a bank that is part of NatWest Group.
Ultimate Band List.
United Bank Limited.
Unilever Bangladesh Limited.
United Basketball League.
Universal Business Language. This is a special computer language. It helps computers understand papers like bills, orders, and shipping lists.
Usama bin Laden. He lived from 1957 to 2011. He was a terrorist from Saudi Arabia and led a group called al-Qaeda.
Ubiquitin-like proteins.","The acronym UBL can also mean: Hubli Junction railway station (station code: UBL); Ulster Bank Limited, a retail banking subsidiary of the NatWest Group; Ultimate Band List; United Bank Limited; Unilever Bangladesh Limited; United Basketball League; Universal Business Language, which is an ISO standard XML vocabulary used for documents such as invoices, purchase orders, and waybills; Usama bin Laden (1957–2011), a Saudi Arabian terrorist and leader of al-Qaeda; or Ubiquitin-like proteins."
"we introduce a new index of the leptonic cp phase dependence @xmath0 and derive the maximal condition for this index in a simple and general form . @xmath1 may be realized even in the jparc experiment . in the case that the 1 - 3 mixing angle can be observed in the next generation reactor experiments , namely @xmath2 , and nevertheless @xmath3 appearance signal can not be observed in the jparc experiment , we conclude that the cp phase @xmath4 becomes a value around @xmath5 @xmath6 for @xmath7 @xmath8 without depending the uncertainties of solar and atmospheric parameters .","We have a new way to look at a special phase. We call it X-math-zero.
We find when X-math-zero is biggest. It is easy to see for all.
X-math-one can happen in the J-PARC test.
If we see Angle one-three in new big tests. This is X-math-two.
But we do not see X-math-three in the J-PARC test.
Then we know the special phase X-math-four.
It will be near X-math-five X-math-six.
This is for X-math-seven X-math-eight.
It does not care about sun and air numbers.","We have found a new way to measure how tiny bits of matter called leptons change. This change is called the CP phase. We also found out when this measurement will be at its biggest. We wrote it down in a simple way that works for many things. This biggest measurement could even be seen in the J-PARC experiment.

If a special angle called the 1-3 mixing angle can be seen in new experiments that use reactors, but a signal of something appearing cannot be seen in the J-PARC experiment, then we know that the CP phase will be a certain number, under certain conditions. This is true no matter how unsure we are about things from the sun and the air.","We are introducing a new index, @xmath0, which shows how much something depends on the leptonic CP phase. We have also found the simplest and most general conditions under which this index reaches its maximum value. This maximum condition could even be observed in an experiment like J-PARC.

If future reactor experiments can measure the 1-3 mixing angle (specifically @xmath2), but the J-PARC experiment does *not* observe the @xmath3 appearance signal, then we can conclude that the CP phase @xmath4 is approximately @xmath5 @xmath6 for @xmath7 @xmath8. This conclusion is reliable because it does not depend on the uncertainties of solar and atmospheric parameters."
"a study of the reaction @xmath0 has been performed in the energy range of 18 44 mev . total cross sections and differential cross sections at six angles have been measured at 15 energies with an energy increment of 1 2 mev . this is the most systematic data set in this energy range . no structure in the energy dependence of the cross section has been observed within the accuracy of this experiment .","We looked at the @xmath0 thing. We did this from 18 to 44 energy numbers.
We measured many things about it. We looked from six different spots.
We did this 15 times. Each time, we changed the energy a little. We went up by 1 or 2 energy numbers.
This is the best information we have. It is for these energy numbers.
We did not see anything new happen. The way it worked stayed the same. We looked very carefully.","Scientists studied a reaction called @xmath0. They looked at it with energy from 18 to 44 mev.
They measured how much of the reaction happened in total, and how it happened from six different directions. They did this at 15 energy levels, going up by 1 or 2 mev each time.
This is the most complete set of information ever collected for these energy levels.
They did not see any special patterns in how the reaction changed with different energies. This is based on how exact their measurements were.","Scientists studied the reaction @xmath0 at energies between 18 and 44 MeV. They measured the total cross sections and the differential cross sections at six different angles. These measurements were taken at 15 different energy levels, with an energy increment of 1 to 2 MeV between each. This is the most systematic set of data ever collected for this energy range. Within the limits of the experiment's accuracy, no specific patterns or 'structure' were observed in how the cross section changed with energy."
"By . Daniel Piotrowski for Daily Mail Australia . US President Barack Obama will soon decide whether to launch airstrikes on Islamic State targets in Syria - and Australia may provide support. This afternoon The New York Times reported the United States is mobilising allies behind a potential military campaign in Syria. Quoting Obama administration officials, the Times reported that Australia and Britain would be expected to join the United States in a air campaign. Scroll down for video . Decider: The US is mobilising a coalition of allies around a potential bombing campaign in Syria. Other potential US allies listed in the report included Qatar, Jordan, Saudi Arabia, Turkey and the United Arab Emirates. Daily Mail Australia has approached Prime Minister Tony Abbott's office for comment. A report published The Australian on Monday said the Abbott Government is contemplating an extended military role in Iraq. The report also said the government has encouraged the United States to ramp up its involvement in the troubled country and possibly Syria. Mobilising allies: Barack Obama may soon decide whether the US will bomb Islamic State targets in Syria.","President Obama will soon choose.
He will choose if planes will drop bombs.
The bombs will be on bad people called Islamic State.
This will be in Syria.
Australia might help.

A newspaper said today.
America is getting friends ready.
They might fight in Syria.
People who work for Obama said this.
The newspaper said Australia and Britain might join America.
They might send planes to drop bombs.

America is getting many friends ready.
They might drop bombs in Syria.
Other friends for America were in the newspaper.
They are Qatar, Jordan, Saudi Arabia, Turkey, and United Arab Emirates.

A news group asked Prime Minister Abbott's helpers what he thinks.

Another newspaper said on Monday.
Abbott's helpers are thinking about helping more with fighting in Iraq.
The newspaper also said.
Abbott's helpers told America to help more.
This is for the country that has problems.
And maybe for Syria too.

Obama might soon choose.
He will choose if America will drop bombs.
The bombs will be on bad people called Islamic State.
This will be in Syria.","America's President, Barack Obama, will soon choose if America will bomb bad guys called Islamic State in a country called Syria. Australia might help.

Today, a newspaper called The New York Times said America is getting friends ready to help with a possible fight in Syria. People who work for President Obama told the newspaper that Australia and Britain would likely join America to bomb from the sky.

America is getting many friends ready for a possible bombing in Syria. Other friends who might help America are Qatar, Jordan, Saudi Arabia, Turkey, and the United Arab Emirates.

Daily Mail Australia asked Australia's leader, Prime Minister Tony Abbott, what he thinks.

On Monday, another newspaper called The Australian said that Prime Minister Abbott's government is thinking about helping more with fighting in a country called Iraq. The newspaper also said Australia's government has told America to get more involved in Iraq, which has problems, and maybe in Syria too.

President Barack Obama might soon choose if America will bomb the bad guys called Islamic State in Syria.","US President Barack Obama is close to deciding if the United States will launch airstrikes against Islamic State targets in Syria. Australia might offer support for these actions.

The New York Times reported this afternoon that the United States is gathering allies for a possible military campaign in Syria. According to Obama administration officials quoted by the Times, Australia and Britain are expected to join the United States in an air campaign. Other countries mentioned as potential US allies in the report include Qatar, Jordan, Saudi Arabia, Turkey, and the United Arab Emirates.

Separately, a report in The Australian newspaper on Monday stated that the Abbott Government is considering a larger military role in Iraq. That report also mentioned that the Australian government has encouraged the United States to increase its involvement in Iraq, and potentially in Syria."
"Northeim is a district in Lower Saxony, Germany. It is bounded by (from the northwest and clockwise) the districts of Holzminden, Hildesheim, Goslar and Göttingen, and the state of Hesse (district of Kassel). History In medieval times the area had been part of the Duchy of Brunswick-Lüneburg. Later the majority of it belonged to Hanover and then Prussia. In 1885 the Prussian government created districts in the newly acquired provinces. In 1884 the districts of Einbeck, Northeim, and Uslar were established. Northeim and Uslar were merged in 1932, and they were again merged with Einbeck in 1974. The district's area was further enlarged in 1977, when some municipalities of neighbouring districts (Gandersheim and Osterode am Harz) joined the Northeim district. Geography The district is located in the Weserbergland mountains. The Weser forms the western border of the district. Another river, the Leine, runs through the district from south to north. It is joined by the River Rhume which flows through the town of Northeim and the River Ilme which flows through the town of Einbeck. Coat of arms Towns and municipalities See also Metropolitan region Hannover-Braunschweig-Göttingen-Wolfsburg References External links Official website (German) Districts of Lower Saxony","Northeim is a place in Germany.
Other places are next to Northeim.
These are Holzminden, Hildesheim, Goslar, and Göttingen.
Hesse is also next to Northeim.
Kassel is a place in Hesse.

A long, long time ago, Northeim was part of a big land.
It was called Brunswick-Lüneburg.
Later, most of Northeim was part of Hanover.
Then it was part of Prussia.

In 1885, Prussia made new places.
They were called districts.
In 1884, three districts were made.
They were Einbeck, Northeim, and Uslar.

Northeim and Uslar joined together in 1932.
Then they joined with Einbeck in 1974.
Northeim got bigger in 1977.
Some small towns from other places came to Northeim.
These towns were Gandersheim and Osterode am Harz.

Northeim is in the Weserbergland mountains.
The Weser River is on one side of Northeim.
Another river is the Leine.
It goes through Northeim.
It goes from the south to the north.
Other rivers meet the Leine.
The Rhume River goes through Northeim town.
The Ilme River goes through Einbeck town.","Northeim is a place in Germany. It is a district in Lower Saxony. Northeim is next to other places like Holzminden, Hildesheim, Goslar, and Göttingen. It is also next to the state of Hesse, near a place called Kassel.

A long time ago, the area where Northeim is was part of a big place called the Duchy of Brunswick-Lüneburg. Later, most of this area was part of Hanover. Then it was part of Prussia. In 1885, the people who ruled Prussia made new districts in the areas they had just taken. In 1884, the districts of Einbeck, Northeim, and Uslar were made.

Northeim and Uslar joined together in 1932. Then, in 1974, they joined with Einbeck too. The Northeim district got even bigger in 1977. This happened when some small towns from districts next door joined it. These towns were Gandersheim and Osterode am Harz.

Northeim district is in the Weserbergland mountains. A river called the Weser is the border on the west side of the district. Another river, the Leine, flows through the district. It goes from the south to the north. Other rivers join the Leine. One is the River Rhume, which flows through the town of Northeim. Another is the River Ilme, which flows through the town of Einbeck.","Northeim is a district in Lower Saxony, Germany. It is bordered by the districts of Holzminden, Hildesheim, Goslar, and Göttingen, as well as the Kassel district in the state of Hesse.

Historically, in medieval times, the area was part of the Duchy of Brunswick-Lüneburg. Later, most of it belonged to Hanover and then Prussia. In 1885, the Prussian government created administrative districts in its newly acquired provinces. The districts of Einbeck, Northeim, and Uslar were specifically established in 1884. Northeim and Uslar were merged in 1932, and they were again merged with Einbeck in 1974. The district's area expanded further in 1977, when several municipalities from neighboring districts, including Gandersheim and Osterode am Harz, became part of Northeim district.

The district is situated in the Weserbergland mountains. The Weser River marks its western boundary. The Leine River flows through the district from south to north. The Leine is joined by the River Rhume, which passes through the town of Northeim, and the River Ilme, which flows through the town of Einbeck."
"a major goal of upcoming experiments measuring the cosmic microwave background radiation ( cmbr ) is to reveal the subtle signature of inflation in the polarization pattern which requires unprecedented sensitivity and control of systematics . since the sensitivity of single receivers has reached fundamental limits future experiments will take advantage of large receiver arrays in order to significantly increase the sensitivity . here we introduce the q / u imaging experiment ( quiet ) which will use hemt - based receivers in chip packages at 90(40 ) ghz in the atacama desert . data taking is planned for the beginning of 2008 with prototype arrays of 91(19 ) receivers , an expansion to 1000 receivers is foreseen . with the two frequencies and a careful choice of scan regions there is the promise of effectively dealing with foregrounds and reaching a sensitivity approaching 10@xmath0 for the ratio of the tensor to scalar perturbations . [ 1999/12/01 v1.4c il nuovo cimento ]","A big plan is to look at space light. This light is called CMBR. They want to find a tiny sign in how the light wiggles. This sign is about something called inflation. They need to be very good at seeing it. They need to be very careful.

One camera cannot see well enough. So, new tests will use many cameras. This will help them see much better.

We have a new test. It is called QUIET. It will use special cameras. These cameras are small chips. They will look for light at two speeds. They will do this in the Atacama Desert.

They plan to start looking in 2008. They will use 91 cameras first. Later, they want to use 1000 cameras.

Using the two light speeds and looking in the right spots. They hope to see past other light. They want to see the tiny sign very, very well.","00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","A main goal of future experiments measuring the Cosmic Microwave Background (CMB) radiation is to find a faint sign of 'inflation' in the way the CMB light is polarized. This requires extremely high sensitivity and careful management of potential errors. Because individual detectors have reached their maximum sensitivity, future experiments will use many detectors grouped together (large receiver arrays) to greatly improve overall sensitivity.

One such experiment is called the Q/U Imaging Experiment (QUIET). QUIET will use special detectors called HEMT-based receivers, packaged as chips, operating at frequencies of 90 and 40 GHz. These will be located in the Atacama Desert. Data collection is planned to start in early 2008, using prototype arrays with 91 and 19 receivers. Eventually, the experiment plans to expand to 1000 receivers. By using these two frequencies and carefully selecting the sky regions to observe, scientists hope to effectively remove interference from other sources (foregrounds) and achieve a sensitivity close to 0.001 for the ratio of tensor to scalar perturbations."
"George Clinton may refer to: Music George Clinton (clarinettist) (1850–1913), British clarinettist George Clinton (funk musician) (born 1941), American funk musician George S. Clinton (born 1947), American musician Politics George Clinton (Royal Navy officer) (1686–1761), British colonial governor of Newfoundland and of New York George Clinton (vice president) (1739–1812), Vice President of the U.S. and Governor of New York George Clinton Jr. (1771–1809), U.S. Representative from New York, nephew of Vice President George Clinton George W. Clinton (1807–1885), mayor of Buffalo, New York George De Witt Clinton, member of the 77th (1854) and 80th New York State Legislatures (1857) George Clinton (born 1846), member of the 107th New York State Legislature (1884), son of Mayor George W. Clinton George Henry Clinton, Louisiana politician Other people George Perkins Clinton (1867–1937), American botanist and mycologist George Clinton (rugby league) (1924–2010), English rugby league footballer who played in the 1940s and 1950s, and coached in the 1950s and 1960s See also Clinton (surname) George Clinton Sweeney (1895–1966), United States federal judge","George Clinton played a clarinet. He was from Britain. He lived from 1850 to 1913.

George Clinton played funk music. He was from America. He was born in 1941.

George S. Clinton played music. He was from America. He was born in 1947.

George Clinton was a Navy officer. He was from Britain. He was a governor. He was governor of Newfoundland and New York. He lived from 1686 to 1761.

George Clinton was a Vice President of the U.S. He was a governor of New York. He lived from 1739 to 1812.

George Clinton Jr. was a U.S. Representative. He was from New York. He was the nephew of Vice President George Clinton. He lived from 1771 to 1809.

George W. Clinton was a mayor. He was mayor of Buffalo, New York. He lived from 1807 to 1885.

George De Witt Clinton was in the 77th New York State Legislature in 1854. He was in the 80th New York State Legislature in 1857.

George Clinton was born in 1846. He was in the 107th New York State Legislature in 1884. He was the son of Mayor George W. Clinton.

George Henry Clinton was a politician. He was from Louisiana.

George Perkins Clinton was a botanist. He studied plants. He was a mycologist. He studied mushrooms. He was from America. He lived from 1867 to 1937.

George Clinton played rugby. He was from England. He played in the 1940s and 1950s. He coached in the 1950s and 1960s. He lived from 1924 to 2010.

George Clinton Sweeney was a judge. He was a U.S. federal judge. He lived from 1895 to 1966.","George Clinton was a man from Britain who played the clarinet. He lived from 1850 to 1913.

George Clinton is an American musician who plays funk music. He was born in 1941.

George S. Clinton is an American musician. He was born in 1947.

George Clinton was a British officer in the Royal Navy. He was also a governor for Britain in Newfoundland and New York. He lived from 1686 to 1761.

George Clinton was the Vice President of the U.S. He was also the Governor of New York. He lived from 1739 to 1812.

George Clinton Jr. worked for the U.S. government for New York. He was the nephew of Vice President George Clinton. He lived from 1771 to 1809.

George W. Clinton was the mayor of Buffalo, New York. He lived from 1807 to 1885.

George De Witt Clinton worked in the New York government in 1854 and 1857.

George Clinton worked in the New York government in 1884. He was the son of Mayor George W. Clinton. He was born in 1846.

George Henry Clinton worked in the government in Louisiana.

George Perkins Clinton was an American who studied plants and fungi. He lived from 1867 to 1937.

George Clinton was an English man who played rugby in the 1940s and 1950s. He also coached rugby in the 1950s and 1960s. He lived from 1924 to 2010.

George Clinton Sweeney was a judge for the U.S. government. He lived from 1895 to 1966.","**Music**
*   George Clinton (1850–1913), a British clarinettist.
*   George Clinton (born 1941), an American funk musician.
*   George S. Clinton (born 1947), an American musician.

**Politics**
*   George Clinton (1686–1761), a British Royal Navy officer and colonial governor of Newfoundland and New York.
*   George Clinton (1739–1812), who served as U.S. Vice President and Governor of New York.
*   George Clinton Jr. (1771–1809), a U.S. Representative from New York and nephew of Vice President George Clinton.
*   George W. Clinton (1807–1885), mayor of Buffalo, New York.
*   George De Witt Clinton, a member of the New York State Legislature in 1854 (77th session) and 1857 (80th session).
*   George Clinton (born 1846), a member of the New York State Legislature in 1884 (107th session) and son of Mayor George W. Clinton.
*   George Henry Clinton, a politician from Louisiana.

**Other People**
*   George Perkins Clinton (1867–1937), an American botanist and mycologist.
*   George Clinton (1924–2010), an English rugby league footballer who played in the 1940s and 1950s, and coached during the 1950s and 1960s.

*   George Clinton Sweeney (1895–1966), a United States federal judge."
"an algebraic method is introduced for an analytical solution of the eigenvalue problem of the tavis - cummings ( tc ) hamiltonian , based on polynomially deformed _ su(2 ) _ , i.e. @xmath0 , algebras . in this method the eigenvalue problem is solved in terms of a specific perturbation theory , developed here up to third order . generalization to the @xmath1-atom case of the rabi frequency and dressed states is also provided . a remarkable enhancement of spontaneous emission of @xmath1 atoms in a resonator is found to result from collective effects .","We have a new math way. It helps solve a special math puzzle. This puzzle is about the Tavis-Cummings thing. It uses special math rules. This math way helps find answers to the puzzle. It uses a special math idea. We made this idea. It works in three steps. We also show how it works for many atoms. This is for the Rabi speed and dressed states. Many atoms in a special box make a lot more light come out. This happens because they work together.","A math way is shown to find an exact answer for a special math problem about the Tavis-Cummings (TC) Hamiltonian. This way uses special math ideas called polynomially deformed su(2) algebras. With this way, the special math problem is worked out using a special kind of math called perturbation theory. This math was made here, going up to the third step. This idea can also be used for many atoms, for something called Rabi frequency and dressed states. A big increase in spontaneous emission from many atoms inside a special box happens because they work together.","We introduce an algebraic method to find an exact solution for the eigenvalue problem of the Tavis-Cummings (TC) Hamiltonian. This method uses a specific type of algebra known as polynomially deformed su(2) algebras. Using this method, the eigenvalue problem is solved by applying a specific perturbation theory, which we developed up to the third order. We also extend this method to the case of multiple atoms (N atoms) to describe the Rabi frequency and dressed states. We found a remarkable increase in the spontaneous emission of N atoms inside a resonator, which results from collective effects."
"we present a non - linear numerical model for a geometrically thin accretion disk with the addition of stochastic non - linear fluctuations in the viscous parameter . these numerical realizations attempt to study the stochastic effects on the disk angular momentum transport . we show that this simple model is capable of reproducing several observed phenomenologies of accretion driven systems . the most notable of these is the observed linear rms - flux relationship in the disk luminosity . this feature is not formally captured by the linearized disk equations used in previous work . a fourier analysis of the dissipation and mass accretion rates across disk radii show coherence for frequencies below the local viscous frequency . this is consistent with the coherence behavior observed in astrophysical sources such as cygnus x-1 .","We made a special computer picture. It shows a flat, spinning circle that pulls things in. The stickiness of the circle changes in wiggly ways. These pictures help us learn how surprise changes make the flat circle spin. This simple picture can show us many things we see in real space circles. The best thing is how the circle's light gets brighter and dimmer in a straight line. Old math rules for the circle did not show this straight line light change. We looked at the wiggles of heat and pulled-in stuff all over the circle. They wiggle together when the wiggles are slow. Slower than how sticky the circle is. This is like how things wiggle together in real space things, like a star called Cygnus X-1.","We made a computer model for a flat, thin spinning disk of gas. In our model, we added random, complex changes to how sticky the gas is. These models help us learn how random changes move the spinning gas around in the disk. We found that our simple model can show us many things we see happening in systems where gas falls onto something. The most important thing we saw is a straight line pattern between how much the light flickers and how bright the disk is. This pattern is not usually shown by the simpler math rules for the disk that people used before. When we looked closely at how energy is lost and how much gas falls in at different parts of the disk, they moved together when changes happened slowly, slower than how sticky the gas was in that spot. This matches what we see in real space objects like Cygnus X-1.","We have created a complex computer model of a thin disk of material spiraling inwards. This model includes random, unpredictable changes in how sticky the material in the disk is. We use these model results to study how these random changes affect the transfer of the disk's spinning motion, which is crucial for material to fall into the center. Our model, despite its simplicity, can explain several things we observe in systems where material is falling inwards.

The most important finding is that our model reproduces a specific pattern seen in the disk's brightness: a direct relationship between how much its brightness varies and its overall brightness. This pattern could not be explained by the simpler equations used in earlier studies. By analyzing how energy is lost and how quickly mass falls inwards at different parts of the disk, we found that these processes are synchronized (coherent) for slower changes than the local stickiness allows. This matches the synchronized behavior observed in real cosmic objects, like the black hole system Cygnus X-1."
"Avian may refer to: Bird, as an adjective Avian (band), an American metal band Avian, Iran, a village in Razavi Khorasan Province, Iran Avian Island, an island in Antarctica Avro Avian, a series of British light aircraft designed and built by Avro in the 1920s and 1930s Avian Limited, a British hang glider manufacturer Avian (given name), or in Russian, Авиа́н, Russian male first name Avian, Friulian name of Aviano, a city in Italy See also Avian influenza Evian, a brand of mineral water Évian-les-Bains, a commune in eastern France Thonon Évian F.C., a football club based in Thonon, France","Avian means like a bird.
Avian is a music band. It is from America.
Avian is a town. It is in Iran.
Avian Island is an island. It is in Antarctica.
Avro Avian is a plane. It is from Britain. People made it a long time ago.
Avian Limited makes hang gliders. Hang gliders fly. This company is from Britain.
Avian is a boy's name. It is a Russian name.
Avian is another name for Aviano. Aviano is a city in Italy.

Avian influenza is a sickness. It is a bird sickness.
Evian is water. You can drink it.
Évian-les-Bains is a town. It is in France.
Thonon Évian F.C. is a soccer team. It is from France.","The word ""Avian"" can mean different things.

*   ""Avian"" is a word that means ""about birds.""
*   There is an American music group called Avian. They play loud, fast music.
*   There is a village in Iran named Avian.
*   There is an island in a very cold place called Antarctica. It is named Avian Island.
*   Avro Avian was a type of small airplane made in Britain many years ago.
*   Avian Limited is a company in Britain that makes hang gliders.
*   Avian is a boy's name from Russia.
*   Avian is another name for a city in Italy called Aviano.

You might also hear about:

*   ""Avian flu,"" which is a sickness that birds can get.
*   Evian, which is a brand of water that comes in bottles.
*   Évian-les-Bains, which is a town in France.
*   Thonon Évian F.C., which is a soccer team in France.","""Avian"" can refer to:
*   **Birds**: When used as an adjective, it means ""relating to birds"" or ""of birds.""
*   **Avian (band)**: An American metal band.
*   **Avian, Iran**: A village located in Razavi Khorasan Province, Iran.
*   **Avian Island**: An island found in Antarctica.
*   **Avro Avian**: A series of British light aircraft designed and built by Avro in the 1920s and 1930s.
*   **Avian Limited**: A British company that manufactures hang gliders.
*   **Avian (given name)**: A Russian male first name, also written as Авиа́н in Russian.
*   **Avian (city name)**: The Friulian name for Aviano, a city in Italy.

You might also encounter these related or similar-sounding terms:
*   **Avian influenza**: A disease that affects birds.
*   **Evian**: A brand of mineral water.
*   **Évian-les-Bains**: A town (commune) in eastern France.
*   **Thonon Évian F.C.**: A football (soccer) club based in Thonon, France."
"a two - component system of penetrable particles interacting via a gaussian core potential is considered , which may serve as a crude model for binary polymer solutions . the pair structure and thermodynamic properties are calculated within the random phase approximation ( rpa ) and the hypernetted chain ( hnc ) integral equation . the analytical rpa predictions are in semi - quantitative agreement with the numerical solutions of the hnc approximation , which itself is very accurate for gaussian core systems . a fluid - fluid phase separation is predicted to occur for a broad range of potential parameters . the pair structure exhibits a nontrivial clustering behaviour of the minority component . similiar conclusions hold for the related model of parabolic core mixtures , which is frequently used in dissipative particle dynamics ( dpd ) simulations .","We look at two kinds of little things. They are mixed. They can go through each other. They push and pull in a special way. This is like a simple picture. It shows two kinds of long chains mixed.

We figure out how the little things sit. We also figure out what they do. We use two special math ways.

What the first math way says is almost the same as what the second math way says. The second math way is very good for these little things.

We think the mix can split apart. This happens for many ways they push and pull.

The smaller group of little things sticks together in a special way.

We see the same things for another kind of mix. People often use this other mix in computer games.","We look at a system with two kinds of tiny things. These tiny things can pass through each other a little bit. They push or pull each other with a soft, round force. This system is a simple way to understand mixtures of two different types of long chain molecules.

We figure out how these tiny things are arranged in pairs, and how they act with heat and energy. We do this using two special math methods called RPA and HNC. What RPA tells us is quite similar to what HNC tells us. HNC is very good at figuring out systems with this soft, round force.

We think the liquid mixture can split into two different liquids. This can happen for many different ways the force is set. The way the tiny things are arranged shows that the smaller group of one kind of tiny thing clumps together in a special way.

We find similar things for a related model where the force is shaped like a parabola. This model is often used in computer simulations called DPD.","We studied a system with two types of particles that can overlap. These particles interact with each other through a 'Gaussian core potential,' which means their interaction strength changes smoothly, like a bell curve, rather than having a sharp boundary. This system serves as a basic model for mixtures of two different types of polymers.

We calculated how these particles are arranged relative to each other (their 'pair structure') and their overall properties, such as energy and pressure (their 'thermodynamic properties'). We used two advanced calculation methods for this: the 'Random Phase Approximation' (RPA) and the 'Hypernetted Chain' (HNC) integral equation.

The predictions from the RPA method, which are derived mathematically, showed good, but not perfect, agreement with the results from the HNC method, which were found using computer calculations. The HNC method itself is known to be very accurate for systems with Gaussian core interactions.

We predict that the system will separate into two distinct fluid phases (a 'fluid-fluid phase separation'), similar to how oil and water separate. This is expected to happen for a wide range of conditions related to the particle interactions. The way the particles are arranged shows complex grouping patterns, especially for the particles that are present in smaller amounts.

Similar findings also apply to a related model called 'parabolic core mixtures.' This 'parabolic core' model is often used in computer simulations known as 'Dissipative Particle Dynamics' (DPD)."
